Ville;Quartier;Prix;Type de Bien;Surface;Nombre de Chambres;Nombre de Salles de Bain;Etage;Terrasse;Garage;Ascenseur;Piscine;Securite
agadir;anza;820000.0;appartement;59.0;2.0;1.0;2.0;1;0;1;0;0
agadir;hay mohammadi;2400000.0;villa;175.0;3.0;1.0;0.0;1;0;0;0;0
agadir;founti;1850000.0;appartement;82.0;2.0;1.0;2.0;1;1;1;1;1
agadir;secteur touristique;2600000.0;appartement;101.0;3.0;2.0;3.0;1;1;1;0;1
agadir;al wifaq;6500000.0;terrain;284.0;0.0;0.0;0.0;0;0;0;0;0
agadir;assaka;660000.0;appartement;61.0;2.0;2.0;3.0;0;1;1;0;1
agadir;founti;2100000.0;appartement;89.0;2.0;2.0;4.0;1;1;1;1;1
agadir;riad salam;1300000.0;appartement;95.0;2.0;1.0;3.0;1;0;0;0;0
agadir;zone industrielle agadir;4500000.0;terrain;200.0;0.0;0.0;0.0;0;0;0;0;0
agadir;taddart anza;2200000.0;terrain;196.0;0.0;0.0;0.0;0;0;0;0;0
agadir;hay mohammadi;4000000.0;maison;150.0;12.0;7.0;0.0;1;0;0;0;0
agadir;haut founty;1520000.0;appartement;105.0;3.0;2.0;4.0;0;1;1;0;1
agadir;anahda;750000.0;local commercial;84.0;0.0;1.0;0.0;0;0;0;0;0
agadir;founti;2250000.0;appartement;94.0;2.0;2.0;3.0;0;1;1;0;0
agadir;haut founty;915000.0;bureau;64.0;0.0;1.0;3.0;0;0;0;0;0
agadir;ben serguaou;3850000.0;villa;370.0;4.0;4.0;0.0;0;1;0;1;0
agadir;hay houda;820000.0;appartement;65.0;2.0;1.0;3.0;1;1;0;0;0
agadir;riad salam;1200000.0;local commercial;74.0;0.0;1.0;0.0;0;0;0;0;1
agadir;talborjt;6600000.0;villa;287.0;5.0;2.0;0.0;1;0;0;1;1
agadir;hay dakhla;4200000.0;terrain;374.0;0.0;0.0;0.0;0;0;0;0;0
agadir;hay mohammadi;3360000.0;terrain;336.0;0.0;0.0;0.0;0;0;0;0;0
agadir;tilila;930000.0;appartement;73.0;2.0;2.0;1.0;0;0;1;0;0
agadir;secteur touristique;3200000.0;appartement;110.0;2.0;2.0;3.0;1;0;1;1;0
agadir;hay mohammadi;2400000.0;appartement;150.0;3.0;2.0;1.0;1;1;1;0;0
agadir;secteur touristique;8500.0;terrain;191.0;0.0;0.0;0.0;0;0;0;0;0
agadir;haut anza;790000.0;local commercial;104.0;0.0;1.0;0.0;0;0;0;0;0
agadir;haut anza;4500000.0;local commercial;58.0;0.0;1.0;0.0;0;0;0;0;0
agadir;haut anza;4900000.0;local commercial;67.0;0.0;1.0;0.0;0;0;0;0;0
agadir;charaf;2450000.0;maison;150.0;4.0;2.0;0.0;1;0;0;0;0
agadir;siusse;2800000.0;villa;220.0;3.0;2.0;0.0;1;1;0;0;0
agadir;tilila;3300000.0;villa;200.0;3.0;3.0;0.0;1;1;0;0;0
agadir;hay mohammadi;804000.0;appartement;67.0;2.0;1.0;3.0;0;1;0;0;1
agadir;al wifaq;15000.0;appartement;39.0;1.0;1.0;3.0;1;1;1;0;1
agadir;secteur touristique;3200000.0;appartement;130.0;2.0;1.0;2.0;1;1;1;0;1
agadir;secteur touristique;1800000.0;bureau;77.0;0.0;1.0;3.0;0;0;0;0;1
agadir;hay qods;3780000.0;terrain;270.0;0.0;0.0;0.0;0;0;0;0;0
agadir;charaf;2457000.0;villa;130.0;3.0;2.0;0.0;1;0;0;0;0
agadir;tilila;3100000.0;maison;112.0;5.0;3.0;0.0;1;1;0;0;0
agadir;hay mohammadi;1160000.0;appartement;104.0;2.0;2.0;3.0;1;0;1;1;1
agadir;secteur touristique;1700000.0;appartement;96.0;2.0;1.0;3.0;1;0;1;0;1
agadir;secteur touristique;2170000.0;appartement;97.0;2.0;2.0;2.0;1;1;1;1;1
agadir;ville nouvelle;2100000.0;maison;128.0;6.0;5.0;0.0;1;0;0;0;0
agadir;haut founty;2106000.0;local commercial;81.0;0.0;1.0;0.0;0;0;0;0;0
agadir;hay salam;730000.0;appartement;62.0;2.0;2.0;1.0;0;0;0;0;1
agadir;haut founty;1600000.0;appartement;191.0;2.0;1.0;3.0;0;1;0;0;0
agadir;haut founty;1950000.0;appartement;95.0;2.0;2.0;2.0;1;1;1;0;1
agadir;illigh;15000000.0;villa;595.0;7.0;7.0;0.0;1;0;0;1;0
agadir;talborjt;350000.0;local commercial;114.0;0.0;2.0;0.0;0;1;0;0;1
agadir;haut founty;2000000.0;local commercial;480.0;0.0;1.0;0.0;0;0;0;0;1
agadir;hay dakhla;2900000.0;maison;600.0;8.0;4.0;0.0;1;1;0;0;0
agadir;bouargane;1900000.0;maison;150.0;10.0;3.0;0.0;0;0;0;0;0
agadir;al wifaq;980000.0;appartement;75.0;2.0;2.0;2.0;1;1;0;0;1
agadir;hay salam;850000.0;appartement;95.0;2.0;2.0;6.0;1;1;1;0;1
agadir;hay mohammadi;13600.0;appartement;93.0;3.0;2.0;3.0;1;1;0;0;0
agadir;ben serguaou;2000000.0;maison;140.0;4.0;1.0;0.0;1;1;0;0;0
agadir;tilila;2500000.0;appartement;230.0;3.0;3.0;3.0;1;0;1;0;1
agadir;anza;1850000.0;appartement;120.0;2.0;1.0;1.0;1;0;0;0;0
agadir;hay massira;1500000.0;appartement;96.0;3.0;2.0;2.0;1;1;1;0;1
agadir;hay mohammadi;938000.0;local commercial;94.0;0.0;1.0;0.0;0;0;0;0;0
agadir;amsernate;850000.0;appartement;115.0;3.0;2.0;4.0;0;0;0;0;1
agadir;hay dakhla;960000.0;appartement;120.0;3.0;2.0;3.0;1;1;0;0;1
agadir;anza;500000.0;appartement;60.0;3.0;2.0;3.0;0;1;0;0;0
agadir;hay salam;1100000.0;local commercial;130.0;0.0;1.0;0.0;0;0;0;0;0
agadir;zone industrielle agadir;1350000.0;appartement;80.0;2.0;1.0;3.0;0;1;1;1;1
agadir;taddart;3300000.0;villa;220.0;4.0;2.0;0.0;0;1;0;0;0
agadir;founti;5500000.0;terrain;425.0;0.0;0.0;0.0;0;0;0;0;0
agadir;hay salam;8500.0;bureau;630.0;0.0;1.0;3.0;0;0;0;0;0
agadir;amicales;4500000.0;villa;300.0;4.0;3.0;0.0;0;0;0;0;0
agadir;secteur touristique;4800000.0;villa;300.0;5.0;3.0;0.0;1;1;0;0;0
agadir;hay mohammadi;2960000.0;villa;264.0;1.0;1.0;0.0;1;0;0;0;0
agadir;charaf;3000000.0;villa;120.0;3.0;2.0;0.0;0;1;0;0;0
agadir;abattoirs;1200000.0;appartement;91.0;2.0;2.0;3.0;0;0;0;0;0
agadir;illigh;13000000.0;villa;1000.0;3.0;2.0;0.0;0;0;0;0;0
agadir;secteur touristique;4400000.0;appartement;150.0;2.0;2.0;3.0;1;1;1;1;1
agadir;hay mohammadi;1200000.0;appartement;82.0;2.0;2.0;3.0;0;1;1;0;0
agadir;illigh;10500000.0;villa;894.0;6.0;8.0;0.0;1;1;0;1;0
agadir;talborjt;6500000.0;villa;380.0;4.0;2.0;0.0;0;0;0;0;0
agadir;hay mohammadi;1400000.0;appartement;124.0;3.0;2.0;2.0;1;1;1;0;0
agadir;illigh;9900.0;terrain;337.0;0.0;0.0;0.0;0;0;0;0;0
agadir;zone industrielle agadir;1300000.0;appartement;89.0;3.0;1.0;3.0;0;0;0;0;1
agadir;hay houda;23000.0;local commercial;260.0;0.0;2.0;0.0;0;0;0;0;0
agadir;hay mohammadi;1140000.0;appartement;94.0;2.0;3.0;3.0;1;0;1;0;0
agadir;hay qods;650000.0;appartement;64.0;2.0;1.0;3.0;0;1;1;0;1
agadir;charaf;1590000.0;appartement;113.0;2.0;2.0;4.0;1;1;1;0;0
agadir;hay salam;635000.0;appartement;58.0;2.0;1.0;2.0;0;1;1;0;1
agadir;tikiouine;1300000.0;terrain;93.0;0.0;0.0;0.0;0;0;0;0;0
