Ville;Quartier;Prix;Type de Bien;Surface;Nombre de Pièces;Nombre de Chambres;Nombre de Salles de Bain;Étage;État;Terrasse;Garage;Ascenseur;Piscine;Sécurité;;;;;;;;;;;
Agadir;Hay Salam;1 150 000 DH;Appartement;80;3 Pièces;2 Chambres;1 Salle de bain;2ème;Nan;Non;Oui;Oui;Non;Oui;;;;;;;;;;;
Agadir;Hay Houda;1 000 000 DH;Appartement;95;3 Pièces;2 Chambres;1 Salle de bain;Nan;Nan;Oui;Non;Oui;Non;Non;;;;;;;;;;;
Agadir;Hay Mohammadi;920 000 DH;Appartement;102;3 Pièces;2 Chambres;1 Salle de bain;Nan;Nan;Non;Oui;Oui;Non;Non;;;;;;;;;;;
Agadir;Hay Mohammadi;979 000 DH;Appartement;89;2 Pièces;3 Chambres;1 Salle de bain;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Agadir;Haut Founty;3 000 000 DH;Bureau;63;Nan;Nan;1 Salle de bain;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Agadir;Hay Salam;13 500 DH;Appartement;110;1 Pièce;3 Chambres;2 Salles de bains;1er;Nan;Oui;Non;Oui;Non;Non;;;;;;;;;;;
Agadir;Founti;2 620 000 DH;Local commercial;50;Nan;Nan;1 Salle de bain;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Agadir;Founti;1 452 500 DH;Bureau;83;Nan;Nan;1 Salle de bain;4ème;Nan;Non;Oui;Oui;Non;Non;;;;;;;;;;;
Agadir;Founti;2 553 000 DH;Bureau;111;Nan;Nan;1 Salle de bain;Nan;Nan;Oui;Non;Oui;Non;Non;;;;;;;;;;;
Agadir;Founti;5 100 000 DH;Local commercial;88;Nan;Nan;1 Salle de bain;Nan;Nan;Non;Oui;Non;Non;Non;;;;;;;;;;;
Agadir;Haut Anza;84 000 EUR;Appartement;75;3 Pièces;2 Chambres;2 Salles de bains;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
